Site,Block,Plot,ID,X ,Y,Number,0 cm,2.5 cm,5.0 cm,7.5 cm,10.0 cm,12.5 cm,15.0 cm,17.5 cm,20.0 cm,22.5 cm,25.0 cm,27.5 cm,30.0 cm,32.5 cm,35.0 cm,37.5 cm,40.0 cm,42.5 cm,45.0 cm,Cone Size
MCL,4,2,30,6,4,N= 31 ,483,483,1138,1104,862,828,1138,932,828,862,759,724,759,1000,897,828,828,828,828,1/2 Inch
MCL,4,2,31,7,4,N= 32 ,483,1104,1242,2588,2208,1656,1863,1863,1311,1276,759,724,586,552,932,483,483,380,759,1/2 Inch
MCL,4,2,32,8,4,N= 33 ,448,483,828,1346,1690,1690,1898,1656,1208,794,794,724,690,828,724,656,794,2898,2760,1/2 Inch
MCL,4,2,33,1,5,N= 1 ,483,448,656,1276,1414,1070,1138,1070,1311,1000,862,794,724,690,759,828,828,897,828,1/2 Inch
MCL,4,2,34,2,5,N= 2 ,172,483,1104,1966,1380,1000,1000,1414,1414,794,586,552,345,172,172,310,414,414,483,1/2 Inch
MCL,4,2,35,3,5,N= 3 ,34,586,1138,2036,1966,1863,1484,1208,862,380,414,414,656,414,345,345,345,483,552,1/2 Inch
MCL,4,2,36,4,5,N= 4 ,690,552,656,1138,724,414,414,552,690,724,483,448,414,414,448,414,552,621,828,1/2 Inch
MCL,4,2,37,5,5,N= 5 ,621,690,932,1380,1690,1242,1242,1173,1070,724,586,448,483,448,414,552,586,483,759,1/2 Inch
MCL,4,2,38,6,5,N= 6 ,414,586,1208,1208,1276,1138,794,828,1070,759,552,552,690,586,552,794,897,932,1725,1/2 Inch
MCL,4,2,39,7,5,N= 7 ,242,414,862,1587,1414,1518,1587,966,966,1173,1104,1138,1173,1104,897,862,897,897,828,1/2 Inch
MCL,4,2,40,8,5,N= 8 ,483,724,1000,1484,1863,1690,1380,862,690,932,794,759,862,862,932,1000,1070,1311,1380,1/2 Inch
MCL,4,2,41,1,6,N= 9 ,310,586,2208,2415,2174,1276,1000,862,690,690,1000,759,759,759,656,1484,1104,966,966,1/2 Inch
MCL,4,2,42,2,6,N= 10 ,586,724,1276,1173,1518,1484,1070,1242,794,862,724,862,828,794,656,621,621,656,586,1/2 Inch
MCL,4,2,43,3,6,N= 11 ,656,690,828,1070,1484,1242,862,759,828,724,690,690,656,621,586,656,794,0,0,1/2 Inch
MCL,4,2,44,4,6,N= 12 ,724,724,1242,1898,1690,1346,1104,932,656,414,380,448,483,0,0,0,0,0,0,1/2 Inch
MCL,4,2,45,5,6,N= 13 ,621,621,1380,1898,1138,1000,828,724,656,586,621,552,414,380,380,621,690,1484,0,1/2 Inch
MCL,4,2,46,6,6,N= 14 ,656,621,1208,1656,1932,1414,1104,1173,1104,794,483,380,310,310,242,380,586,1173,1173,1/2 Inch
MCL,4,2,47,7,6,N= 15 ,552,656,1346,1760,1104,932,897,586,759,724,862,794,862,897,966,1932,1725,1138,1276,1/2 Inch
MCL,4,2,48,8,6,N= 16 ,414,759,1276,1208,1484,1587,1311,1449,759,724,897,794,897,897,794,724,1000,1414,1138,1/2 Inch
MCL,4,2,49,1,7,N= 17 ,448,586,724,897,1208,1242,1208,1000,828,448,414,380,345,345,345,345,483,621,656,1/2 Inch
MCL,4,2,50,2,7,N= 18 ,380,552,1208,1932,1518,1725,1898,1208,1276,1104,1000,966,794,586,690,690,794,759,828,1/2 Inch
MCL,4,2,51,3,7,N= 19 ,207,310,1173,1414,1484,1104,690,586,724,724,690,690,690,656,621,483,552,586,414,1/2 Inch
MCL,4,2,52,4,7,N= 20 ,138,310,759,1656,1622,1276,448,138,104,207,483,552,690,759,690,759,794,690,828,1/2 Inch
MCL,4,2,53,5,7,N= 21 ,0,0,690,1380,932,1104,690,656,690,552,414,310,310,310,380,310,448,794,794,1/2 Inch
MCL,4,2,54,6,7,N= 22 ,483,794,1587,1966,1622,1414,1346,1587,1070,794,448,380,345,380,380,345,380,586,932,1/2 Inch
MCL,4,2,55,7,7,N= 23 ,345,448,1346,2484,2208,1449,1104,1173,2036,1173,1070,1104,897,1208,897,828,828,828,897,1/2 Inch
MCL,4,2,56,8,7,N= 24 ,483,656,1242,1311,1173,1070,932,552,380,380,380,276,276,310,724,1000,724,828,897,1/2 Inch
MCL,4,2,57,1,8,N= 25 ,345,345,414,1932,2242,932,1311,1898,2380,1276,1138,897,759,690,586,586,552,621,794,1/2 Inch
MCL,4,2,58,2,8,N= 26 ,586,759,1242,1760,1449,1104,1690,1173,794,759,690,621,690,656,621,690,690,656,724,1/2 Inch
MCL,4,2,59,3,8,N= 27 ,586,586,897,1380,759,828,724,656,586,690,690,656,552,586,656,690,828,932,1138,1/2 Inch
MCL,4,2,60,4,8,N= 28 ,414,1070,2312,2312,1690,1070,1138,1173,690,448,621,690,552,621,862,897,759,759,794,1/2 Inch
MCL,4,2,61,5,8,N= 29 ,345,759,2312,2415,1794,897,794,897,966,794,932,759,621,552,656,656,759,794,690,1/2 Inch
MCL,4,2,62,6,8,N= 30 ,621,932,2070,1725,966,1449,1070,794,794,621,552,483,448,586,586,586,586,414,414,1/2 Inch
MCL,4,2,63,7,8,N= 31 ,724,1173,1828,1656,1484,1449,1311,1346,759,621,483,345,345,242,552,621,794,828,932,1/2 Inch
MCL,4,2,64,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/2 Inch
