,SiteName,BlockNo,PlotNo,Subplot.No,Subplot.X,Subplot.Y,X4.waygrass,achmol,aegtri,agohet,aircar,amsmen,anaarv,astragalus,avebar,avefat,bare,brimax,brimin,brocar,brodia,brohor,bromad,broster,calcil,callut,calpar,cardamine,carpac,casatt,cenmil,cenmil..not..,cerglo,clapur,collinsia,conarv,croset,cynech,daucpusil,delgra,delvar,diccap,dicmul,elygla,erobot,eupspa,filgal,galapa,galpar,gerdis,germol,greenbrush,hypgla,laccil,lacser,lagophylla,latsph,linbic,linpar,lolmul,lomatium,longawnbrome,lotmic,lotpur,lotus,lotwra,lupbic,luzcom,madgra,miccal,naspul,navpub,notago,oak,petdub,pink.cup.opposite,plalan,planot,poasecunda,purplecup,purpleflower,rancal,rock,sanbip,scapec,shearv,shieldseed,sidalcea,sisbel,taecap,thycur,torilis,trialbo,tribif,tricil,tridub,trieri,trifuc,trigra,trihir,trihya,trilax,trimicroceph,trimicrodon,triwhite,triwil,triwra,unkforb,unktar,vicsat,vicvil,vulmyu,whiterib,whorledtarweed,wood,zigadenus
1075,HREC,1,1,3,3,7,,,1,,,,,,,,,5,,,2,2,,,,,,,1,,1,,,2,,,,,,,,,,,1,1,,,,1,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,,
1028,HREC,1,1,4,4,1,,,1,,,,,,2,,15,5,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
1044,HREC,1,1,4,4,3,,,2,,,,,,2,,3,5,,,3,3,,,,,,,,,,,,,,,,,3,,,,,,1,1,,,,2,,,,,,,2,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,1,1,,,,,,2,,,,,,
1060,HREC,1,1,4,4,5,,,4,,,,,,1,,,5,,,2,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,
1076,HREC,1,1,4,4,7,,,,,,,,,1,,,5,,,2,3,,,,,,,,,,,,1,,,,,1,,,,,,2,1,,,1,1,,,2,,,,2,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,2,1,,,,,,2,,,,,,
1029,HREC,1,1,5,5,1,,,,,,,,,2,,,5,,,2,1,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,2,,,,,,,1,,,,1,,,,,,1,,2,,,,,,,,,,,,,2,,2,1,,,1,,,,2,,,1,,,,,,,,,,,,,,,2,,,,,,
1045,HREC,1,1,5,5,3,,,,,,,,,2,,,5,,,3,4,,,,,,,,,,,,1,,,,,2,,,,,,1,,,,,3,1,,,,,,2,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,2,,,1,,,,1,,,1,,,,,,,,2,,,,,,,2,,,,,,
1061,HREC,1,1,5,5,5,,,2,,,,,,2,,,5,,,3,3,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,2,1,,,,,,2,,,,,,2,,,,2,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,,,,,,,,,,,,,,,2,,,,,,
1077,HREC,1,1,5,5,7,,,,,,,,,1,,,5,,,2,3,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,2,,,,1,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,2,,,,,,,2,,,,,,
1030,HREC,1,1,6,6,1,,,,,,,,,2,,,5,,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,2,,,,,,,1,,,,2,,,,,,,,2,,,,,,,,,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
