"","4-waygrass","achmol","aegtri","agohet","aircar","amsmen","anaarv","avebar","avefat","bare","brimax","brimin","brocar","brodia","brohor","bromad","broster","calcil","callut","calpar","carpac","cardamine","casatt","cenmil","cenmil (not?)","cerglo","clapur","conarv","croset","cynech","daucpusil","delvar","diccap","dicmul","elygla","erobot","eupspa","filgal","galpar","gerdis","greenbrush","hypgla","laccil","lacser","lagophylla","latsph","linpar","lolmul","lomatium","longawnbrome","lotmic","lotpur","lotwra","lotus","lupbic","luzcom","madgra","miccal","naspul","navpub","notago","petdub","plalan","planot","poasecunda","purplecup","purpleflower","rancal","trihir","rock","shearv","shieldseed","sidalcea","sisbel","taecap","torilis","tribif","trialbo","tricil","tridub","trieri","trifuc","trigra","trihya","trilax","trimicroceph","trimicrodon","triwhite","triwil","triwra","vicsat","unktar","vicvil","vulmyu","whiterib","whorledtarweed","zigadenus","collinsia","delgra","galapa","germol","astragalus","linbic","oak","pink cup opposite","sanbip","scapec","thycur","unkforb","wood"
"1130","","","3","","","","","","","","5","","","2","2","","","","","","","","","2","","","2","","","","","","1","","","1","","","1","1","","2","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","2","","","","","","","","",""
"1146","","","3","","","","","1","","4","5","","","1","2","","","","","","","","","1","","","1","","","","1","","","","","","","","","2","","","","","","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","",""
"1099","","","2","","","","","2","","40","2","","","","3","","","","","","","","","2","","","2","","","","3","","","","","","1","","2","3","","3","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","",""
"1115","","","4","","","","","1","","","5","","","","2","","","","","","","","","","","","2","","","","3","","","","","1","","","1","2","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1131","","","3","","","","","1","","","5","","","","1","","","","","","","","","","","","1","","","","","","2","","","1","","","1","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"1147","","","3","","","","","","","","5","","","2","2","","","","","","","","","2","","","2","","","","1","","","","","","","","1","1","","","","","","2","","","","","2","","","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","",""
"1100","","","2","","","","","","","35","2","","","","3","","","","","","","","","","","","1","","","","3","","","","","2","","","1","2","","3","","","","1","","","","","1","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","3","","",""
"1116","","","3","","","","","1","","","2","","","","3","","","","","","","","","1","","","2","","","","2","","","","","2","","","","4","","1","","","","1","","","","","2","","","","","","2","","","","","","","","","","","","","","","","","","","","1","","2","","","","","","","2","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1132","","","3","","","","","","","","4","","","","3","","","","","","","","","2","","","2","","","","3","","2","","","2","","","","2","","1","","","","2","1","","","","1","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","1","","","","","","","","","","1","","","","","","3","","",""
"1148","","","3","","","","","","","","5","","","1","3","","","","","","","","","1","","","2","","","","2","","","","","1","","","","2","","","","","","1","","","","","2","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","1","","",""
"1101","","","3","","","","","","","15","2","","","","2","","","","","","","","","1","","","3","","","","3","","","","","2","","","2","3","","3","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","3","","",""
"1117","","","3","","","","","","","","2","","","","2","","1","","","","","","","1","","","","","","","2","","1","","","1","","","","3","","1","","","","1","","","","","2","","","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","2","","",""
"1133","","","3","","","","","","","","1","","","","3","","","","","","","","","2","","","3","","","","2","","","","","3","","","","2","","2","","","","1","1","","","","2","","","","","","2","1","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","1","","","","","1","","","","","","","","","","1","","","","","","2","","",""
"1149","","","","","","","","1","","","4","","","3","5","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","3","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","",""
