row,site,plot,subplotno,subplotres,mid_x,mid_y,bl_x,ul_x,ur_x,br_x,bl_y,ul_y,ur_y,br_y
227,2,7,3,0.5,5.75,13.25,5.5,5.5,6,6,13,13.5,13.5,13
228,2,7,5,0.25,5.625,13.125,5.5,5.5,5.75,5.75,13,13.25,13.25,13
229,2,7,6,0.25,5.875,13.125,5.75,5.75,6,6,13,13.25,13.25,13
230,2,7,4,0.5,5.75,13.75,5.5,5.5,6,6,13.5,14,14,13.5
231,2,7,7,0.25,5.625,13.875,5.5,5.5,5.75,5.75,13.75,14,14,13.75
232,2,7,8,0.25,5.875,13.875,5.75,5.75,6,6,13.75,14,14,13.75
233,2,8,1,2,7,16,6,6,8,8,15,17,17,15
234,2,8,1,1,6.5,16.5,6,6,7,7,16,17,17,16
235,2,8,1,0.5,6.25,16.25,6,6,6.5,6.5,16,16.5,16.5,16
236,2,8,1,0.25,6.125,16.375,6,6,6.25,6.25,16.25,16.5,16.5,16.25
237,2,8,2,0.25,6.375,16.375,6.25,6.25,6.5,6.5,16.25,16.5,16.5,16.25
238,2,8,2,0.5,6.75,16.25,6.5,6.5,7,7,16,16.5,16.5,16
239,2,8,3,0.25,6.625,16.125,6.5,6.5,6.75,6.75,16,16.25,16.25,16
240,2,8,4,0.25,6.875,16.375,6.75,6.75,7,7,16.25,16.5,16.5,16.25
241,2,8,2,1,7.5,16.5,7,7,8,8,16,17,17,16
242,2,8,3,0.5,7.25,16.75,7,7,7.5,7.5,16.5,17,17,16.5
243,2,8,5,0.25,7.125,16.875,7,7,7.25,7.25,16.75,17,17,16.75
244,2,8,6,0.25,7.375,16.625,7.25,7.25,7.5,7.5,16.5,16.75,16.75,16.5
245,2,8,4,0.5,7.75,16.25,7.5,7.5,8,8,16,16.5,16.5,16
246,2,8,7,0.25,7.625,16.375,7.5,7.5,7.75,7.75,16.25,16.5,16.5,16.25
247,2,8,8,0.25,7.875,16.125,7.75,7.75,8,8,16,16.25,16.25,16
248,2,8,1,4,6,15,4,4,8,8,13,17,17,13
249,3,1,1,2,12,1,11,11,13,13,0,2,2,0
250,3,1,1,1,12.5,0.5,12,12,13,13,0,1,1,0
251,3,1,1,0.5,12.25,0.25,12,12,12.5,12.5,0,0.5,0.5,0
252,3,1,1,0.25,12.125,0.125,12,12,12.25,12.25,0,0.25,0.25,0
253,3,1,2,0.25,12.375,0.375,12.25,12.25,12.5,12.5,0.25,0.5,0.5,0.25
254,3,1,2,0.5,12.75,0.25,12.5,12.5,13,13,0,0.5,0.5,0
255,3,1,3,0.25,12.625,0.375,12.5,12.5,12.75,12.75,0.25,0.5,0.5,0.25
256,3,1,4,0.25,12.875,0.125,12.75,12.75,13,13,0,0.25,0.25,0
257,3,1,2,1,12.5,1.5,12,12,13,13,1,2,2,1
258,3,1,3,0.5,12.25,1.25,12,12,12.5,12.5,1,1.5,1.5,1
259,3,1,5,0.25,12.375,1.125,12.25,12.25,12.5,12.5,1,1.25,1.25,1
260,3,1,6,0.25,12.375,1.375,12.25,12.25,12.5,12.5,1.25,1.5,1.5,1.25
261,3,1,4,0.5,12.75,1.25,12.5,12.5,13,13,1,1.5,1.5,1
262,3,1,7,0.25,12.625,1.375,12.5,12.5,12.75,12.75,1.25,1.5,1.5,1.25
263,3,1,8,0.25,12.875,1.125,12.75,12.75,13,13,1,1.25,1.25,1
264,3,2,1,2,10,3,9,9,11,11,2,4,4,2
265,3,2,1,1,9.5,3.5,9,9,10,10,3,4,4,3
266,3,2,1,0.5,9.25,3.25,9,9,9.5,9.5,3,3.5,3.5,3
267,3,2,1,0.25,9.125,3.375,9,9,9.25,9.25,3.25,3.5,3.5,3.25
268,3,2,2,0.25,9.375,3.375,9.25,9.25,9.5,9.5,3.25,3.5,3.5,3.25
269,3,2,2,0.5,9.75,3.25,9.5,9.5,10,10,3,3.5,3.5,3
270,3,2,3,0.25,9.625,3.125,9.5,9.5,9.75,9.75,3,3.25,3.25,3
271,3,2,4,0.25,9.625,3.375,9.5,9.5,9.75,9.75,3.25,3.5,3.5,3.25
272,3,2,2,1,10.5,3.5,10,10,11,11,3,4,4,3
273,3,2,3,0.5,10.75,3.25,10.5,10.5,11,11,3,3.5,3.5,3
274,3,2,5,0.25,10.625,3.125,10.5,10.5,10.75,10.75,3,3.25,3.25,3
275,3,2,6,0.25,10.625,3.375,10.5,10.5,10.75,10.75,3.25,3.5,3.5,3.25
276,3,2,4,0.5,10.75,3.75,10.5,10.5,11,11,3.5,4,4,3.5
277,3,2,7,0.25,10.875,3.625,10.75,10.75,11,11,3.5,3.75,3.75,3.5
278,3,2,8,0.25,10.875,3.875,10.75,10.75,11,11,3.75,4,4,3.75
279,3,2,1,4,11,2,9,9,13,13,0,4,4,0
280,3,3,1,2,12,5,11,11,13,13,4,6,6,4
281,3,3,1,1,11.5,4.5,11,11,12,12,4,5,5,4
282,3,3,1,0.5,11.75,4.25,11.5,11.5,12,12,4,4.5,4.5,4
283,3,3,1,0.25,11.625,4.125,11.5,11.5,11.75,11.75,4,4.25,4.25,4
284,3,3,2,0.25,11.625,4.375,11.5,11.5,11.75,11.75,4.25,4.5,4.5,4.25
285,3,3,2,0.5,11.75,4.75,11.5,11.5,12,12,4.5,5,5,4.5
286,3,3,3,0.25,11.625,4.625,11.5,11.5,11.75,11.75,4.5,4.75,4.75,4.5
