SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,AveFat,AirCar,TriDub,TriHir,VulMyu,TriWhite,GalPar,Bare,DicCap,MadGra,HypGla,VicVel,BroDia,EroBot,TaeCap,TriCil,LatSph,ClaPur,TriWra,,,,
MCLA,2,1,13,5,2,3,3,2,2,,,,5,2,,,,4,,,2,,,,,,,,
MCLA,2,1,14,6,2,4,4,2,2,,,,,,,,,4,,,,1,1,,,,,,
MCLA,2,1,15,7,2,4,4,2,2,,,1,10,,,,,3,,,2,,1,1,,1,,,
MCLA,2,1,16,8,2,3,4,3,3,,,3,10,1,,,,3,,,,,1,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,BroHor,VulMyu,TaeCap,GerDis,MadGra,Bare,HypGla,ClaPur,GalPar,CroSet,DicCap,EroBot,TriMicroceph,TriDub,PlaNot,AveBar,AnaArv,LupBic,,,,,
MCLA,2,1,1,1,3,4,3,3,4,2,1,,2,,,,,,,,,,,,,,,,
MCLA,2,1,2,2,3,5,2,3,3,2,,,2,1,1,1,,,,,,,,,,,,,
MCLA,2,1,3,3,3,4,3,4,4,2,,,2,1,,,,,,,,,,,,,,,
MCLA,2,1,4,4,3,4,4,3,3,2,,8,,1,,,1,1,1,,,,,,,,,,
MCLA,2,1,5,5,3,5,4,3,2,2,,,,,,,1,,1,,,,,,,,,,
MCLA,2,1,6,6,3,4,3,2,4,2,2,,,,,,,,,2,,,,,,,,,
MCLA,2,1,7,7,3,4,3,3,3,3,2,3,,,1,,,,,,,,,,,,,,
MCLA,2,1,8,8,3,3,3,3,3,3,2,,1,,,,,,,,2,,,,,,,,
MCLA,2,1,9,1,4,5,2,3,4,2,,,1,,,,1,,,,,,,,,,,,
MCLA,2,1,10,2,4,3,3,2,5,2,,,2,,,1,,,,,,1,,,,,,,
MCLA,2,1,11,3,4,3,3,3,4,2,,,2,2,,,1,,,,,3,1,1,,,,,
MCLA,2,1,12,4,4,3,3,4,3,1,,,,,,,,,,,,3,,,,,,,
MCLA,2,1,13,5,4,5,4,3,3,1,2,7,1,,,,,,,,,,,,,,,,
MCLA,2,1,14,6,4,3,4,3,3,,,,2,,,,,,,,,1,,,,,,,
MCLA,2,1,15,7,4,3,4,3,3,2,,,,,,,,,,,,,,,,,,,
MCLA,2,1,16,8,4,5,3,2,3,,1,,1,,1,1,,,,,,,1,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicVil,BroHor,VulMyu,TaeCap,AveBar,HypGla,GerDis,GalPar,Bare,DicCap,ConArv,MadGra,LupBic,LacSer,CroSet,AirCar,CerGlo,ClaPur,AnaArv,,,,,
MCLA,2,1,1,1,5,4,3,3,3,2,,2,1,2,1,,,,,,,,,,,,,,
MCLA,2,1,2,2,5,2,3,3,5,3,,1,,,1,,,,,,,,,,,,,,
MCLA,2,1,3,3,5,3,3,3,4,2,,,,,1,2,,,,,,,,,,,,,
MCLA,2,1,4,4,5,4,4,3,4,,,,,,1,2,2,1,,,,,,,,,,,
MCLA,2,1,5,5,5,2,4,3,3,3,,,,,,,1,,1,,,,,,,,,,
MCLA,2,1,6,6,5,3,3,3,5,2,,,,,,,1,,,,,,,,,,,,
MCLA,2,1,7,7,5,3,4,3,4,2,,,1,,1,,,,,1,,,,,,,,,
MCLA,2,1,8,8,5,5,3,3,3,2,,3,1,,1,,,,,,1,1,,,,,,,
MCLA,2,1,9,1,6,5,3,2,3,2,,,,,,,,,,,,,,,,,,,
MCLA,2,1,10,2,6,4,3,3,4,2,,,,,,,,,,,,,,,,,,,
MCLA,2,1,11,3,6,3,3,3,5,2,,,,,,1,1,,,,,,,,,,,,
MCLA,2,1,12,4,6,3,4,3,4,2,,,,,,2,1,1,,,,,1,,,,,,
MCLA,2,1,13,5,6,4,3,2,4,1,,,,,,,1,,,,1,,,1,,,,,
MCLA,2,1,14,6,6,4,3,2,4,2,,,,,,,,,,,,,,,,,,,
MCLA,2,1,15,7,6,3,3,2,5,2,,,,,,,,,,,,,,,,,,,
MCLA,2,1,16,8,6,4,3,3,5,2,,1,,,,,,,,,,,1,,,,,,
