Name: Eviner Lab Penetrometer         																						
Serial #:  2062 																						
Datum: WGS 84																						
Soil Compation In KPa																						
Longitude	Latitude	Number	0.0 cm	2.5 cm	5.0 cm	7.5 cm	10.0 cm	12.5 cm	15.0 cm	17.5 cm	20.0 cm	22.5 cm	25.0 cm	27.5 cm	30.0 cm	32.5 cm	35.0 cm	37.5 cm	40.0 cm	42.5 cm	45.0 cm	Cone Size
		N= 11 	207	276	483	621	345	380	794	1138	724	724	1000	1242	1070	897	897	1380	1760	1208	897	1/2 Inch
		N= 12 	172	276	242	207	586	552	448	1380	1070	794	794	1070	759	621	552	2450	0	0	0	1/2 Inch
		N= 13 	104	69	345	586	1346	1276	2312	2380	0	1346	932	1208	966	897	794	794	2346	0	0	1/2 Inch
		N= 14 	207	207	207	172	414	759	1966	0	1242	759	828	1208	1070	932	1690	1138	1138	1070	966	1/2 Inch
		N= 15 	207	207	207	310	828	966	724	552	794	794	759	310	656	724	1173	897	759	759	759	1/2 Inch
		N= 16 	380	448	966	621	3726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 17 	380	380	310	345	586	656	552	414	380	345	345	242	242	242	207	242	380	0	0	1/2 Inch
		N= 18 	621	621	0	138	1863	1863	1138	414	448	483	586	656	345	242	345	552	552	448	552	1/2 Inch
		N= 19 	586	656	310	0	207	1138	1690	0	586	448	552	586	483	656	2036	2208	0	1414	1414	1/2 Inch
		N= 20 	104	104	172	138	104	104	207	345	380	310	138	207	207	69	138	310	276	345	448	1/2 Inch
		N= 21 	414	724	656	380	1173	897	724	966	1104	1380	1380	1242	1138	897	656	621	586	724	724	1/2 Inch
		N= 22 	69	69	172	104	69	345	552	483	345	380	414	724	759	2484	2277	1070	828	862	1138	1/2 Inch
		N= 23 	207	276	276	242	414	1760	897	690	690	656	621	656	656	759	552	552	552	448	414	1/2 Inch
		N= 24 	104	104	172	345	1070	1173	1104	690	448	759	656	621	552	2415	0	0	0	0	0	1/2 Inch
		N= 25 	345	483	310	172	242	483	586	966	932	932	1138	862	1104	1138	1000	966	966	932	932	1/2 Inch
		N= 26 	104	276	448	104	172	724	1794	1173	621	656	448	448	380	380	380	448	483	552	552	1/2 Inch
		N= 27 	69	69	207	104	414	724	1138	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 28 	34	0	172	207	207	345	1276	1414	1070	1380	1208	1138	0	0	0	0	0	0	0	1/2 Inch
		N= 29 	207	483	448	345	345	414	897	690	586	552	276	276	414	380	345	345	345	380	380	1/2 Inch
		N= 30 	69	104	138	276	276	242	207	448	759	414	380	414	448	552	586	724	724	828	1070	1/2 Inch
		N= 31 	242	380	207	242	414	1104	828	794	759	966	862	759	0	0	0	0	0	0	0	1/2 Inch
		N= 32 	552	552	172	138	310	1104	862	621	414	1690	2208	2036	0	0	0	0	0	0	0	1/2 Inch
		N= 33 	34	345	414	414	380	656	552	380	345	276	345	380	345	242	207	310	586	1173	0	1/2 Inch
		N= 34 	310	310	242	104	242	656	621	586	552	552	552	483	724	690	656	656	656	724	966	1/2 Inch
		N= 35 	69	69	0	172	276	276	586	690	621	828	690	621	552	552	552	586	794	0	0	1/2 Inch
		N= 36 	207	207	310	483	759	483	448	724	414	242	34	0	621	656	448	552	586	656	656	1/2 Inch
		N= 37 	380	552	310	310	380	380	345	656	483	345	380	380	0	0	0	0	0	0	0	1/2 Inch
		N= 38 	0	345	345	69	345	172	69	34	34	34	34	34	242	242	242	345	310	276	242	1/2 Inch
		N= 39 	0	0	0	69	380	483	724	586	345	310	345	380	414	552	552	483	345	380	586	1/2 Inch
		N= 40 	0	0	172	380	310	207	207	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 41 	104	138	138	69	207	138	552	0	0	483	242	310	448	448	380	586	621	0	0	1/2 Inch
		N= 42 	414	242	483	345	414	345	242	276	448	483	414	345	380	483	552	621	690	1276	0	1/2 Inch
		N= 43 	0	0	0	586	276	0	621	862	794	483	1173	1242	794	690	586	552	621	724	759	1/2 Inch
		N= 44 	310	310	0	310	242	138	966	862	207	207	242	242	310	552	586	586	552	552	621	1/2 Inch
		N= 45 	414	242	310	1173	1208	724	1104	1070	1104	932	932	1380	1208	1104	1138	932	932	1173	1380	1/2 Inch
		N= 46 	104	414	172	138	242	310	242	310	242	34	69	310	345	345	345	345	345	414	0	1/2 Inch
		N= 47 	172	138	104	276	345	483	552	448	483	448	483	621	586	656	586	897	1104	1138	2346	1/2 Inch
		N= 48 	207	345	34	207	310	242	345	483	621	586	345	276	310	380	552	552	310	310	345	1/2 Inch
		N= 49 	242	242	207	414	586	690	621	414	483	483	448	794	1414	1242	1242	1346	1380	2346	2277	1/2 Inch
		N= 50 	276	345	276	345	276	552	621	621	552	380	414	448	1346	1725	1138	1000	1000	1276	2656	1/2 Inch
		N= 51 	345	242	242	242	966	586	345	276	448	552	0	0	0	0	0	0	0	0	0	1/2 Inch
		Logger Started																				
SFREC		N= 1 	172	242	414	724	759	2588	1690	2277	1966	1622	1690	3036	2139	1690	1622	1656	3174	0	0	1/2 Inch
		N= 2 	69	380	794	345	586	586	759	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 3 	0	0	759	586	242	345	724	242	0	69	207	586	1208	0	0	0	0	0	0	1/2 Inch
		N= 4 	207	414	1000	690	552	794	759	656	690	1414	1138	2898	0	0	0	0	0	0	0	1/2 Inch
