SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BriMax,AegTri,BroHor,BroDia,MadGra,VicSat,LatSph,DaucPusil,GerDis,EupSpa,AveBar,GalPar,Torilis,TriCil,Sidalcea,TriMicroceph,ClaPur,Lomatium,MicCal,DicCap,CenMil,BroSter,HypGla,AirCar,CarPac,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,AegTri,BrImax,BroHor,ClaPur,DaucPusil,MadGra,HypGla,Sidalcea,CenMil,VicSat,CenMil,LatSph,GalPar,BroDia,PlaNot,EroBot,TriMicroceph,LotMic,AnaArv,Bare,TriCil,EupSpa,DicCap,ShieldSeed,,,,,,
HREC,1,2,1,1,7,1,4,5,2,3,,1,2,,,2,,,,,,,,,,,,,,,,,,,,
HREC,1,2,2,2,7,,5,4,2,2,,2,2,,,3,2,1,,,,,,,,,,,,,,,,,,
HREC,1,2,3,3,7,,3,4,2,3,,,2,1,1,3,,2,1,,,,,,,,,,,,,,,,,
HREC,1,2,4,4,7,1,3,4,3,2,2,,2,2,,3,2,2,1,2,,,,,,,,,,,,,,,,
HREC,1,2,5,5,7,1,2,4,3,2,,,,,,3,,2,,2,2,2,,,,,,,,,,,,,,
HREC,1,2,6,6,7,,3,4,3,2,3,2,2,,2,,,2,,1,,,1,,,,,,,,,,,,,
HREC,1,2,7,7,7,,1,3,4,2,2,2,3,,2,,,,1,,,1,2,2,,,,,,,,,,,,
HREC,1,2,8,8,7,2,,5,3,3,2,1,3,,2,,,2,,1,,,1,,1,,,,,,,,,,,
HREC,1,2,9,1,8,1,3,4,3,4,2,,2,,,2,,,,,,,,,,15,1,1,,,,,,,,
HREC,1,2,10,2,8,1,3,5,2,1,1,2,,,1,2,,2,,1,,,,,,,,,,,,,,,,
HREC,1,2,11,3,8,,3,5,2,2,1,2,,1,2,1,,2,1,2,,,1,1,,,,,,,,,,,,
HREC,1,2,12,4,8,,3,5,3,2,2,2,,,,,1,1,,1,,,1,2,,,,,,,,,,,,
HREC,1,2,13,5,8,1,0,4,5,,,,,3,,2,,1,,3,,,,1,,,1,,,,,,,,,
HREC,1,2,14,6,8,,0,2,4,1,4,1,,2,,,,1,,1,3,1,,2,,,,,1,1,,,,,,
HREC,1,2,15,7,8,,2,2,4,2,3,,2,,2,,2,2,,,,,,2,,,,,,,,,,,,
HREC,1,2,16,8,8,,,2,4,3,3,1,4,,,,2,3,2,,2,,1,1,,,1,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BriMax,BroHor,BroDia,AveBar,AegTri,Torilis,VicSat,MadGra,GalPar,LupBic,CynEch,HypGla,DaucPusil,CenMil,AmsMen,Bare,ClaPur,GerDis,TriMicroceph,CarPac,LatSph,LotMic,ElyGla,TriGra,TriHir,,,,,,
HREC,2,1,1,1,1,5,2,3,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,
HREC,2,1,2,2,1,5,1,3,,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,
HREC,2,1,3,3,1,5,1,1,,4,1,2,,,1,,,,,,,,,,,,,,,,,,,,,
HREC,2,1,4,4,1,3,1,2,,3,,2,2,1,,1,2,,,,,,,,,,,,,,,,,,,
HREC,2,1,5,5,1,3,2,2,,2,2,2,1,1,,,2,2,2,1,15,1,,,,,,,,,,,,,,
HREC,2,1,6,6,1,2,2,4,2,2,2,2,2,1,,,,,1,,,,3,,,,,,,,,,,,,
HREC,2,1,7,7,1,2,3,4,2,2,2,2,1,2,,,3,1,3,,,,,1,,,,,,,,,,,,
HREC,2,1,8,8,1,1,3,4,2,2,2,2,2,2,1,,2,,,,5,,,2,2,1,,,,,,,,,,
HREC,2,1,9,1,2,5,3,2,,2,1,3,,1,,,,,,,,,,,,,,,,,,,,,,
HREC,2,1,10,2,2,4,1,3,1,3,2,2,2,,,,,,,,,,3,,,,,,,,,,,,,
HREC,2,1,11,3,2,4,2,3,2,4,2,1,2,1,2,,,,,,,,3,1,,,,,,,,,,,,
HREC,2,1,12,4,2,3,4,3,2,2,2,2,2,1,,,,1,,,,,3,,,,1,,,,,,,,,
HREC,2,1,13,5,2,2,4,3,2,2,2,2,2,1,1,,2,2,,1,,,2,,,,,,,,,,,,,
HREC,2,1,14,6,2,2,2,4,4,0,2,2,2,1,1,,2,,,,,,3,,2,,,,,,,,,,,
HREC,2,1,15,7,2,2,2,4,2,2,1,2,3,1,,,2,3,,,,,,,,,,2,1,,,,,,,
HREC,2,1,16,8,2,2,2,3,2,1,2,2,2,2,,1,2,,,,,,,,1,,1,,,2,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,AegTri,BriMax,BroHor,BroDia,VicSat,Torilis,MadGra,ClaPur,GerDis,Bare,TriMicroceph,GalPar,CarPac,DaucPusil,HypGla,CenMil,ElyGla,LupBic,BroSter,EroBot,LatSph,TriCil,AmsMen,DicCap,TriMicrodon,TriHir,,,,
HREC,2,1,1,1,3,2,4,4,2,3,3,2,0,,3,,,,,,,,,,,,,,,,,,,,,
HREC,2,1,2,2,3,2,3,4,2,3,3,2,1,,2,,1,2,,,,,,,,,,,,,,,,,,
HREC,2,1,3,3,3,1,2,4,2,3,2,2,2,,2,,2,2,,,,,,,,,,,,,,,,,,
HREC,2,1,4,4,3,1,3,4,3,2,2,2,3,,3,,,,2,,,,,,,,,,,,,,,,,
HREC,2,1,5,5,3,2,0,3,3,2,2,1,2,,2,,,1,1,2,,,,,,,,,,,,,,,,
HREC,2,1,6,6,3,2,0,2,3,3,1,2,2,,2,,,2,2,,2,1,,,,,,,,,,,,,,
HREC,2,1,7,7,3,2,1,3,2,4,2,2,2,,3,4,,2,3,2,2,,2,,,,,,,,,,,,,
HREC,2,1,8,8,3,2,2,4,2,2,2,3,2,,3,,,1,2,,1,,3,2,2,,,,,,,,,,,
HREC,2,1,9,1,4,2,1,4,4,3,3,2,2,,2,,,2,,2,,,,,,2,,,,,,,,,,
HREC,2,1,10,2,4,2,2,4,3,2,2,2,2,,2,,2,1,,,2,,,2,,,3,1,,,,,,,,
HREC,2,1,11,3,4,1,2,4,3,4,3,2,1,,2,,1,1,,,1,,2,1,,,,,,,,,,,,
HREC,2,1,12,4,4,1,2,4,3,3,3,2,4,,3,,1,1,,,,,,2,,1,,,,,,,,,,
HREC,2,1,13,5,4,2,1,4,3,3,2,3,3,,2,,,1,2,2,2,,3,2,2,,,1,1,1,,,,,,
HREC,2,1,14,6,4,3,0,3,2,2,2,3,3,,2,,,2,2,,,,2,,,,,,,,1,,,,,
HREC,2,1,15,7,4,2,0,2,1,4,2,3,1,,2,,,1,2,1,,,,1,,,1,,,,,,,,,
HREC,2,1,16,8,4,1,2,4,2,3,2,2,1,,2,,,2,2,,,,3,,2,,1,,,,,2,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,AegTri,BriMax,BroHor,BroDia,VicSat,Torilis,MadGra,GerDis,Bare,ElyGla,CarPac,LatSph,TriMicroceph,DaucPusil,HypGla,LupBic,GalPar,TriHir,DicCap,TriMicrodon,Shieldseed,CenMil,AnaArv,BroSter,,,,,,
HREC,2,1,1,1,5,1,,5,3,2,2,2,1,2,,3,1,,,,,,,,,,,,,,,,,,,
HREC,2,1,2,2,5,2,,5,3,3,2,2,1,2,,,2,2,1,,,,,,,,,,,,,,,,,
HREC,2,1,3,3,5,1,1,4,3,3,2,2,3,1,,,,1,,2,1,1,1,1,,,,,,,,,,,,
HREC,2,1,4,4,5,1,,4,4,3,2,2,1,1,,1,,1,1,,,,1,3,1,,,,,,,,,,,
HREC,2,1,5,5,5,1,1,4,4,3,2,1,2,2,,,3,2,,,1,,1,,,,,,,,,,,,,
HREC,2,1,6,6,5,2,,3,3,2,1,1,2,2,,,3,,,,2,,1,,,,,,,,,,,,,
HREC,2,1,7,7,5,1,1,3,3,2,2,1,3,3,,3,3,1,,,2,2,,2,,,,,,,,,,,,
HREC,2,1,8,8,5,2,2,2,4,2,2,2,3,3,,,2,3,,1,,1,1,4,,,,,,,,,,,,
HREC,2,1,9,1,6,1,,4,3,4,2,1,3,1,,,,,,2,,1,,,,1,,,,,,,,,,
HREC,2,1,10,2,6,2,,5,3,2,1,2,2,1,,,,1,,2,,1,,,,,,,,,,,,,,
